2022-05-22 15:48:03,196 | DEBUG | nextcord.gateway |  For Shard ID None: WebSocket Event: {'t': 'GUILD_CREATE', 's': 2, 'op': 0, 'd': {'voice_states': [], 'name': 'Play ONUW!', 'max_video_channel_users': 25, 'public_updates_channel_id': None, 'large': False, 'member_count': 3, 'owner_id': '398821987277078529', 'joined_at': '2020-06-02T18:13:02.972000+00:00', 'nsfw': False, 'nsfw_level': 0, 'emojis': [], 'system_channel_flags': 0, 'premium_progress_bar_enabled': False, 'premium_subscription_count': 0, 'vanity_url_code': None, 'channels': [{'type': 4, 'position': 0, 'permission_overwrites': [], 'name': 'Text Channels', 'id': '717438681195216949', 'flags': 0}, {'type': 4, 'position': 0, 'permission_overwrites': [], 'name': 'Voice Channels', 'id': '717438681195216950', 'flags': 0}, {'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [], 'parent_id': '717438681195216949', 'name': 'general', 'last_message_id': '977925699778252842', 'id': '717438681195216951', 'flags': 0}, {'user_limit': 0, 'type': 2, 'rtc_region': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [], 'parent_id': '717438681195216950', 'name': 'ONUW Playing I Guess', 'last_message_id': None, 'id': '717438681753059489', 'flags': 0, 'bitrate': 64000}, {'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 1, 'permission_overwrites': [], 'parent_id': '717438681195216949', 'name': 'game', 'last_message_id': '877186321523822632', 'id': '717443128340250676', 'flags': 0}], 'hub_type': None, 'max_members': 500000, 'splash': None, 'unavailable': False, 'afk_timeout': 300, 'embedded_activities': [], 'stage_instances': [], 'icon': None, 'rules_channel_id': None, 'banner': None, 'members': [{'user': {'username': 'ONUW Bot', 'id': '641724526677458944', 'discriminator': '8737', 'bot': True, 'avatar': 'f8176d25265dfa406eb501eefc96650d'}, 'roles': ['717440660919287929'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2020-06-02T18:13:02.972000+00:00', 'hoisted_role': None, 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'avatar': None}], 'description': None, 'premium_tier': 0, 'region': 'deprecated', 'afk_channel_id': None, 'threads': [], 'application_id': None, 'guild_hashes': {'version': 1, 'roles': {'omitted': False, 'hash': '9ZPoTU8MTao'}, 'metadata': {'omitted': False, 'hash': 'j0NiOyojc+0'}, 'channels': {'omitted': False, 'hash': 'OdA1rI5Xu1g'}}, 'lazy': True, 'application_command_counts': {}, 'discovery_splash': None, 'guild_scheduled_events': [], 'id': '717438681195216947', 'presences': [], 'features': [], 'system_channel_id': '717438681195216951', 'default_message_notifications': 0, 'explicit_content_filter': 0, 'mfa_level': 0, 'preferred_locale': 'en-US', 'roles': [{'unicode_emoji': None, 'tags': {}, 'position': 0, 'permissions': '1071698660929', 'name': '@everyone', 'mentionable': False, 'managed': False, 'id': '717438681195216947', 'icon': None, 'hoist': False, 'flags': 0, 'color': 0}, {'unicode_emoji': None, 'tags': {'bot_id': '641724526677458944'}, 'position': 2, 'permissions': '6442450952', 'name': 'ONUW Bot', 'mentionable': False, 'managed': True, 'id': '717440660919287929', 'icon': None, 'hoist': False, 'flags': 0, 'color': 0}, {'unicode_emoji': None, 'tags': {}, 'position': 1, 'permissions': '6546771521', 'name': 'ONUW Players', 'mentionable': False, 'managed': False, 'id': '717443202235498507', 'icon': None, 'hoist': False, 'flags': 0, 'color': 0}], 'stickers': [], 'verification_level': 0}}
2022-05-22 15:48:03,197 | DEBUG | nextcord.client |  Dispatching event socket_event_type
2022-05-22 15:48:03,199 | DEBUG | nextcord.client |  Dispatching event guild_available
2022-05-22 15:48:03,199 | DEBUG | nextcord.client |  nextcord.Client: No locally added commands explicitly registered for Play ONUW!|717438681195216947, not checking.
2022-05-22 15:48:03,364 | DEBUG | nextcord.http |  GET https://discord.com/api/v9/applications/641724526677458944/commands with None has returned 200
2022-05-22 15:48:03,365 | DEBUG | nextcord.http |  GET https://discord.com/api/v9/applications/641724526677458944/commands has received []
2022-05-22 15:48:03,531 | DEBUG | nextcord.http |  GET https://discord.com/api/v9/applications/641724526677458944/commands with None has returned 200
2022-05-22 15:48:03,531 | DEBUG | nextcord.http |  GET https://discord.com/api/v9/applications/641724526677458944/commands has received []
2022-05-22 15:48:03,718 | DEBUG | nextcord.http |  GET https://discord.com/api/v9/applications/641724526677458944/commands with None has returned 200
2022-05-22 15:48:03,718 | DEBUG | nextcord.http |  GET https://discord.com/api/v9/applications/641724526677458944/commands has received []
